timestamp,voltage,temperature,avglatest5
0,222.69,26.97,223.52
10,219.72,27.61,224.14
20,219.63,28.08,224.33
30,220.17,27.18,223.81
40,222.55,29.69,223.03
50,217.29,28.58,224.45
60,218.10,28.10,224.62
70,220.23,27.62,224.14
80,218.07,28.92,223.74
90,217.34,25.53,224.41
100,220.93,26.76,224.16
110,218.00,27.27,223.69
120,221.73,26.79,224.72
130,217.43,27.67,223.20
140,217.77,24.80,223.25
150,219.05,29.72,223.93
160,222.80,25.85,224.91
170,217.11,25.60,224.06
180,221.48,25.86,223.12
190,222.86,29.28,224.34
200,216.59,25.71,223.92
210,216.03,28.29,223.38
220,222.46,26.34,223.88
230,220.07,25.26,223.40
240,219.43,29.41,224.79
250,221.54,28.07,223.46
260,221.09,25.24,224.67
270,219.64,26.78,223.25
280,217.38,25.47,224.22
290,223.74,29.46,223.64
300,220.61,25.65,224.72
310,222.89,29.52,224.46
320,223.82,24.54,224.72
330,220.22,27.28,224.02
340,216.89,26.39,223.17
350,223.22,28.68,224.49
360,221.78,25.16,224.94
370,220.56,27.34,223.47
380,222.04,26.91,224.04
390,218.82,29.40,224.56
400,221.55,27.87,223.50
410,216.91,26.95,224.48
420,218.50,24.18,224.78
430,222.37,27.35,223.05
440,216.81,29.08,223.05
450,219.18,25.96,223.24
460,222.30,29.18,224.28
470,219.06,28.68,223.31
480,218.90,27.34,224.56
490,218.10,25.70,223.89
500,223.65,25.64,224.82
510,218.26,25.76,223.13
520,220.25,25.64,223.26
530,221.27,29.63,224.87
540,221.96,26.63,224.45
550,223.72,26.33,224.51
560,219.21,26.20,223.45
570,220.15,27.66,223.28
580,222.42,24.44,223.57
590,223.27,27.65,223.01
600,219.87,26.80,223.06
610,216.14,24.56,223.73
620,221.23,25.28,224.97
630,221.12,29.22,224.55
640,216.06,29.20,224.95
650,223.19,26.63,224.63
660,217.14,25.15,224.00
670,218.75,25.58,223.92
680,217.37,26.29,224.32
690,219.43,28.44,223.63
700,217.97,28.23,223.32
710,222.26,29.95,223.46
720,218.81,29.48,224.20
730,222.80,26.14,224.39
740,222.57,26.81,223.59
750,223.23,24.91,223.05
760,221.83,26.31,224.30
770,218.26,29.28,223.84
780,221.40,29.20,223.41
790,221.46,26.44,223.38
800,223.41,29.21,224.77
810,218.37,28.27,224.86
820,220.72,26.07,223.66
830,220.44,25.55,223.44
840,218.18,28.08,224.19
850,218.81,24.84,223.10
860,219.51,27.17,224.63
870,219.73,29.82,224.06
880,216.98,29.04,223.95
890,216.10,26.87,224.15
900,222.82,29.31,224.66
910,223.16,29.46,223.67
920,218.38,26.72,223.92
930,222.42,27.12,223.13
940,221.41,24.26,223.94
950,223.88,24.21,223.95
960,220.85,28.61,224.36
970,218.98,24.18,223.64
980,216.51,24.77,223.06
990,222.60,25.58,223.53
1000,221.94,24.62,224.71
1010,218.12,29.82,224.82
1020,223.36,29.70,224.13
1030,216.37,26.99,224.59
1040,223.30,25.40,224.75
1050,217.70,25.46,224.30
1060,216.06,25.08,223.98
1070,218.79,26.47,223.79
1080,217.98,26.51,223.04
1090,216.45,28.18,223.98
1100,217.77,29.80,224.03
1110,219.48,27.33,223.23
1120,219.14,27.05,223.38
1130,218.37,26.29,224.18
1140,218.26,26.88,223.13
1150,218.13,24.00,223.12
1160,223.30,25.32,224.92
1170,221.73,28.67,224.34
1180,218.29,27.69,224.12
1190,222.35,27.26,223.57
1200,219.64,25.31,223.22
1210,222.06,28.85,224.28
1220,220.96,24.15,224.83
1230,220.35,26.43,223.23
1240,217.51,26.31,223.85
1250,217.13,24.71,223.27
1260,221.25,29.93,224.50
1270,218.84,25.83,223.48
1280,220.91,28.44,223.14
1290,218.24,24.74,223.39
1300,217.21,25.63,223.78
1310,219.88,28.53,224.10
1320,218.60,29.51,223.62
1330,217.22,25.63,223.22
1340,219.03,25.88,223.06
1350,217.19,28.49,224.78
1360,220.22,26.65,224.99
1370,218.91,29.83,223.36
1380,219.12,27.05,224.40
1390,223.59,25.78,223.37
1400,220.33,29.38,223.51
1410,216.37,25.99,224.11
1420,223.98,26.94,224.49
1430,219.31,29.19,224.62
1440,222.17,26.27,223.03
1450,216.99,26.82,224.85
1460,223.37,26.20,224.20
1470,223.26,25.63,223.68
1480,216.02,29.33,224.51
1490,219.99,25.18,223.82
1500,216.06,25.70,223.58
1510,222.69,26.77,224.59
1520,222.05,24.52,224.60
1530,221.11,28.75,224.09
1540,217.92,29.24,224.32
1550,220.27,27.55,223.20
1560,221.10,27.67,224.40
1570,220.39,27.92,224.40
1580,219.31,24.29,223.52
1590,221.84,25.74,223.06
1600,220.08,28.85,223.85
1610,217.74,26.05,224.71
1620,218.25,27.02,223.42
1630,218.63,27.46,224.55
1640,222.02,27.06,223.52
1650,222.75,27.04,224.15
1660,222.22,28.71,224.63
1670,217.36,26.61,224.89
1680,219.46,29.93,224.84
1690,223.24,27.29,223.95
1700,216.59,24.50,223.80
1710,221.86,29.48,224.54
1720,218.31,26.89,224.74
1730,221.21,25.21,224.22
1740,221.72,29.27,224.71
1750,219.64,24.08,223.71
1760,219.70,26.02,224.91
1770,223.64,27.82,223.81
1780,216.82,28.06,224.14
1790,216.82,24.90,223.14
1800,221.07,28.57,223.79
1810,218.33,24.58,223.67
1820,220.01,29.15,224.86
1830,219.37,28.36,223.54
1840,221.65,28.70,223.98
1850,218.80,29.65,223.04
1860,220.24,25.89,224.11
1870,217.08,28.43,224.36
1880,218.75,25.86,223.78
1890,220.42,27.89,224.53
1900,218.34,29.42,223.66
1910,223.21,26.59,223.10
1920,218.98,24.27,224.41
1930,217.06,28.67,224.92
1940,216.61,28.60,224.06
1950,217.32,26.77,223.53
1960,220.30,24.78,223.94
1970,220.78,24.03,224.67
1980,220.01,26.59,223.19
1990,223.05,26.77,224.31
2000,218.18,28.53,223.64
2010,218.59,24.46,223.61
2020,217.81,28.36,224.75
2030,221.09,28.97,223.00
2040,221.81,27.36,224.53
2050,218.40,27.09,224.56
2060,221.68,29.60,223.86
2070,223.48,24.22,223.30
2080,216.88,27.17,224.35
2090,221.00,28.88,223.16
2100,219.22,28.03,224.55
2110,222.06,28.65,223.45
2120,223.62,26.27,223.97
2130,216.35,26.13,223.10
2140,216.88,25.53,223.70
2150,219.42,25.11,224.76
2160,218.10,28.96,224.74
2170,223.37,24.31,223.13
2180,216.19,29.51,223.35
2190,220.13,25.24,223.93
2200,217.94,29.31,224.42
2210,216.69,29.61,223.71
2220,216.22,26.90,223.43
2230,221.04,26.02,223.75
2240,220.88,27.65,224.11
2250,221.30,24.74,223.90
2260,223.95,28.61,223.92
2270,223.09,27.41,224.36
2280,216.99,29.37,224.57
2290,216.91,26.81,223.15
2300,217.31,25.20,223.94
2310,221.68,28.08,223.81
2320,218.46,24.05,223.29
2330,223.48,25.94,224.11
2340,219.74,29.12,223.47
2350,222.91,27.73,224.11
2360,218.41,24.87,223.45
2370,218.93,28.22,223.51
2380,222.71,26.55,223.19
2390,223.38,25.69,223.28
2400,216.35,28.73,223.54
2410,216.54,24.86,224.49
2420,222.14,29.61,225.00
2430,218.42,26.68,224.32
2440,219.11,24.63,223.89
2450,222.02,24.85,223.41
2460,220.55,24.08,223.19
2470,216.79,24.04,224.45
2480,219.57,27.93,224.01
2490,223.17,28.20,224.83
2500,221.65,25.62,224.08
2510,220.13,27.06,223.02
2520,218.80,29.09,224.59
2530,219.94,29.16,223.78
2540,219.14,26.11,224.84
2550,222.65,26.79,223.62
2560,217.80,28.90,224.19
2570,218.82,29.15,224.65
2580,216.57,29.33,224.36
2590,216.29,29.41,224.39
2600,221.65,27.95,224.51
2610,221.10,24.49,223.39
2620,221.31,24.82,224.60
2630,223.42,26.55,223.95
2640,219.62,24.23,223.50
2650,218.43,25.11,224.05
2660,220.12,25.10,224.78
2670,222.90,27.13,224.28
2680,221.20,28.86,223.05
2690,216.84,29.53,223.06
2700,220.15,27.99,223.68
2710,217.48,26.04,224.08
2720,216.63,29.52,223.09
2730,220.85,26.07,224.45
2740,218.44,28.19,224.61
2750,217.33,26.13,223.95
2760,219.71,26.85,224.88
2770,217.31,24.73,223.49
2780,222.45,25.80,224.61
2790,221.68,25.94,224.67
2800,222.20,27.39,223.06
2810,216.00,27.33,224.61
2820,223.87,29.57,224.48
2830,216.45,25.32,223.27
2840,223.95,24.95,224.84
2850,216.67,26.18,224.99
2860,221.60,29.34,224.80
2870,218.70,26.53,223.25
2880,223.69,26.40,224.31
2890,216.24,26.23,223.66
2900,219.56,25.55,223.18
2910,220.09,25.15,224.55
2920,222.16,29.78,223.57
2930,220.72,27.31,224.36
2940,217.36,26.49,224.74
2950,217.63,26.38,223.71
2960,218.29,28.05,223.04
2970,223.93,25.70,223.46
2980,219.90,27.29,224.26
